province,expenses,wage,pov_line_max,cluster
ACEH,3089863.375,15056.125,1015686.75,2
BALI,3824097.0,15763.125,825441.625,2
BANTEN,3814371.25,21037.75,947301.5,2
BENGKULU,3292523.75,15127.0,1068544.75,2
DI YOGYAKARTA,3513916.375,13300.625,892889.25,2
DKI JAKARTA,4240640.125,25782.5,1240815.625,1
GORONTALO,2941308.375,13164.375,680947.875,0
JAMBI,3278640.625,14585.625,1032545.875,2
JAWA BARAT,3388137.625,16785.0,768206.125,2
JAWA TENGAH,2760638.125,11335.875,744825.875,0
JAWA TIMUR,2991347.375,12787.5,792321.0,0
KALIMANTAN BARAT,3220137.875,14933.75,897921.625,2
KALIMANTAN SELATAN,3696008.875,16465.375,928290.25,2
KALIMANTAN TENGAH,3732967.5,18070.125,917675.25,2
KALIMANTAN TIMUR,4487493.125,21252.0,1231180.875,1
KALIMANTAN UTARA,4077647.0,20426.375,1303209.25,1
KEP. BANGKA BELITUNG,4213648.875,15814.625,1354355.375,1
KEP. RIAU,4445915.625,22516.75,1161416.5,1
LAMPUNG,2891976.625,12428.875,930800.125,0
MALUKU,3030715.375,17942.75,1029492.125,2
MALUKU UTARA,3184953.5,17578.625,918234.625,2
NUSA TENGGARA BARAT,2880030.0,11469.375,791612.625,0
NUSA TENGGARA TIMUR,2442958.0,13575.875,907982.875,0
PAPUA,3779068.625,25687.0,1131475.875,1
PAPUA BARAT,3857634.625,22735.5,1167587.125,1
RIAU,3730012.5,16506.875,1045432.5,2
SULAWESI BARAT,2581891.125,14361.75,670350.5,0
SULAWESI SELATAN,3034482.5,16469.5,679554.375,0
SULAWESI TENGAH,3045883.0,15273.0,911588.375,2
SULAWESI TENGGARA,2957632.25,17849.375,687145.875,0
SULAWESI UTARA,3320468.125,17738.875,740858.0,2
SUMATERA BARAT,3452670.5,14819.25,1043435.25,2
SUMATERA SELATAN,2973324.875,13819.0,891167.75,0
SUMATERA UTARA,3014090.375,13693.0,957765.375,0
